LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,CHANGE_AMT1,CHANGE_AMT2,CHANGE_AMT3,CHANGE_AMT4,CHANGE_AMT5
20000.0,2,2,1,24,2,2,-1,-1,-2,-2,0.0,689.0,0.0,0.0,0.0,0.0,1,-811.0,-2413.0,-689.0,0.0,0.0
120000.0,2,2,2,26,-1,2,0,0,0,2,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,-957.0,957.0,590.0,183.0,-194.0
90000.0,2,2,2,34,0,0,0,0,0,0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,-15212.0,-468.0,772.0,617.0,601.0
50000.0,2,2,1,37,0,0,0,0,0,0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,1243.0,1058.0,-20977.0,645.0,588.0
50000.0,1,2,1,57,-1,0,-1,0,0,0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,-2947.0,30165.0,-14895.0,-1794.0,-15.0
50000.0,1,1,2,37,0,0,0,0,0,0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,-7331.0,539.0,-38214.0,225.0,405.0
500000.0,1,1,2,29,0,0,0,0,0,0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,44058.0,32984.0,97646.0,-59650.0,-9059.0
100000.0,2,2,2,23,0,-1,-1,0,0,-1,380.0,601.0,0.0,581.0,1687.0,1542.0,0,-11496.0,221.0,-380.0,-380.0,726.0
140000.0,2,3,1,28,0,0,2,0,0,0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,2811.0,-1988.0,103.0,-418.0,-8074.0
20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,13007.0,1122.0,0.0,0,0.0,0.0,0.0,13007.0,905.0
200000.0,2,3,2,34,0,0,2,0,0,-1,2306.0,12.0,50.0,300.0,3738.0,66.0,0,-1286.0,-4252.0,-3022.0,-685.0,1903.0
260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,9409.0,-11704.0,-1449.0,13770.0,-8619.0
630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,-5637.0,0.0,0.0,0.0,-3630.0
70000.0,1,2,2,30,1,2,2,0,0,2,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1,1567.0,-1668.0,1081.0,-30645.0,757.0
250000.0,1,1,2,29,0,0,0,0,0,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,-3827.0,-3499.0,-3865.0,-2821.0,-1363.0
50000.0,2,3,3,23,1,2,0,0,0,0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0,-21441.0,-1057.0,655.0,760.0,680.0
20000.0,1,1,2,24,0,0,2,2,2,2,3200.0,0.0,1500.0,0.0,1650.0,0.0,1,2634.0,-582.0,910.0,-433.0,1199.0
320000.0,1,1,1,49,0,0,0,-1,-1,-1,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0,-6750.0,-51873.0,-124589.0,-64218.0,189743.0
360000.0,2,1,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
130000.0,2,3,2,39,0,0,0,0,0,-1,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0,-10670.0,-3199.0,-3873.0,-8814.0,-10872.0
120000.0,2,2,1,39,-1,-1,-1,-1,-1,-1,316.0,316.0,0.0,632.0,316.0,0.0,1,0.0,0.0,-316.0,632.0,-316.0
70000.0,2,2,2,26,2,0,0,2,2,2,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1,1358.0,2575.0,-1014.0,2899.0,-893.0
450000.0,2,1,1,40,-2,-2,-2,-2,-2,-2,19428.0,1473.0,560.0,0.0,0.0,1128.0,1,13908.0,-17947.0,-913.0,-560.0,0.0
90000.0,1,1,2,23,0,0,0,-1,0,0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0,2326.0,-7070.0,5398.0,962.0,1932.0
